# Pinyin syllable -> characters, for the Chinese layouts.
# Generated by scripts/keyboard/generate_pinyin.py from Unicode/ICU Han-Latin
# readings. Format: syllable<TAB>characters, most likely candidate first.
a	啊阿吖锕錒
ai	爱哀哎唉埃挨癌皑矮碍艾蔼隘嗌嗳嫒捱暧瑷砹锿霭僾啀噯壒娭娾嬡愛敳昹曖欸毐溰溾濭璦皚礙薆藹譪譺鑀閡靄靉餲騃鴱伌凒叆嘊塧懓懝敱皧瞹硋躷銰鎄馤鱫
an	俺安岸按暗案氨胺鞍埯庵揞桉犴谙铵鹌黯侒儑唵啽垵婩媕峖晻洝玵痷盦腤荌菴萻諳豻銨錌闇雸韽馣鵪堓盫罯葊蓭誝貋隌鞌鮟鶕鿷
ang	昂盎肮卬醠骯岇昻枊
ao	傲凹奥懊敖澳熬翱袄嗷坳媪岙廒拗獒聱螯遨鏊鏖骜鳌墺奡奧媼岰嶴扷摮擙柪滶爊璈磝芺蔜薁襖謷镺隞隩驁鰲鼇厫嗸垇嫯嶅慠抝梎獓翶翺謸軪鷔鿫
ba	八叭吧坝巴扒把拔捌爸疤笆罢耙芭跋霸靶岜灞粑茇菝钯魃鲅仈壩峇弝朳柭犮癹矲罷胈蚆詙豝跁軷鈀鼥丷叐哵坺垻墢夿妭巼抜欛炦玐紦羓覇釛釟颰魞鮊鲃鿱
bai	白百佰拜摆柏稗败捭掰庍挀擺敗猈粨粺絔襬拝栢瓸竡薭贁韛
ban	伴办半扮扳拌搬斑板版班瓣绊般颁坂瘢癍舨钣阪坢姅怑攽斒昄柈湴粄絆蝂螁褩辦鈑鉡闆靽頒魬鳻岅瓪秚螌辬
bang	傍帮梆棒榜磅绑膀蚌谤邦镑浜蒡垹塝幫搒牓玤綁縍艕謗鎊鞤幇幚捠稖蜯邫髈
bao	保包堡宝报抱暴爆胞苞薄褒豹雹饱鲍勹孢煲葆褓趵鸨龅儤報媬寶忁怉枹窇笣菢蕔虣袌鉋鑤飹飽駂髱鮑鳵鴇齙佨勽堢嫑宲寚寳曓珤緥藵蚫襃賲铇闁靌靤骲
bei	被北倍卑备悲惫杯焙狈碑背贝辈钡呗孛悖碚蓓褙邶鐾鞴鹎偝備唄憊揹桮梖棓椑牬犕狽珼琲盃糒藣誖貝輩郥鄁鋇鞁骳鵯俻偹僃愂昁禙苝蛽軰鉳
ben	本奔笨苯坌畚贲锛坋栟泍渀翉錛倴奙捹撪桳楍犇獖輽逩
beng	崩泵甭绷蹦迸嘣甏伻傰埲塴琣琫痭祊絣繃菶閍埄奟嵭揼綳逬鏰镚鞛
bi	比笔壁币庇弊彼必敝毕毖毙痹碧臂蓖蔽逼避鄙闭陛鼻俾匕吡哔妣婢嬖庳弼愎滗濞狴璧畀秕筚箅篦舭芘荜荸萆薜裨襞跸铋髀佖偪咇嗶坒堛奰妼屄幣廦彃怭愊斃朼柀柲梐楅沘湢滭潷熚獘獙珌畢疕疪痺皕笓筆箄篳粊綼縪繴罼腷苾蓽蜌襣觱詖豍貏賁贔蹕躄邲鄨鄪鉍鎞鏎閉閟飶馝駜驆髲鮅鵖鷝鷩鼊佊啚夶嬶幤弻怶枈榌毴煏畁睤禆箆粃聛萞螕袐襅诐貱赑躃鐴閇鞸韠饆魓鰏鲾
bian	便卞变扁编贬辨辩辫边遍鞭匾弁忭汴煸砭碥窆笾缏苄蝙褊鳊惼抃揙汳猵甂稨箯籩編緶艑萹變貶辮辯邊釆閞鴘変峅徧昪炞牑獱玣糄藊覍辡辧辺邉鍽鯾鯿
biao	彪标膘表婊杓灬瘭裱镖镳飑飙飚骠髟鳔俵儦墂摽標檦淲滮瀌熛爂猋穮臕藨褾諘謤贆錶鏢鑣颩颮飆驃驫鰾幖磦脿颷飇飈飊骉
