# Pinyin syllable -> characters, for the Chinese layouts.
# Generated by scripts/keyboard/generate_pinyin.py from Unicode/ICU Han-Latin
# readings. Format: syllable<TAB>characters, most likely candidate first.
a	啊阿錒吖锕
ai	愛哀哎唉噯埃挨捱曖璦癌皚矮礙艾藹閡隘靄僾啀嗌壒娭娾嬡敳昹欸毐溰溾濭薆譪譺鑀靉餲騃鴱嗳嫒暧爱瑷皑砹碍蔼锿霭伌凒叆嘊塧懓懝敱皧瞹硋躷銰鎄馤鱫
an	俺安岸庵按暗案氨菴諳銨鞍鵪黯侒儑唵啽垵婩媕峖晻桉洝犴玵痷盦胺腤荌萻豻錌闇雸韽馣埯揞谙铵鹌堓盫罯葊蓭誝貋隌鞌鮟鶕鿷
ang	昂盎骯卬肮醠岇昻枊
ao	傲凹嗷奧媼懊拗敖澳熬翱聱襖遨鏖鼇坳墺奡岰嶴廒扷摮擙柪滶爊獒璈磝芺蔜薁螯謷鏊镺隞隩驁鰲奥媪岙袄骜鳌厫嗸垇嫯嶅慠抝梎獓翶翺謸軪鷔鿫
ba	八叭吧壩巴扒把拔捌灞爸疤笆罷耙芭跋霸靶仈峇弝朳柭犮癹矲粑胈茇菝蚆詙豝跁軷鈀魃鼥坝岜罢钯鲅丷叐哵坺垻墢夿妭巼抜欛炦玐紦羓覇釛釟颰魞鮊鲃鿱
bai	白百佰拜擺敗柏襬庍挀捭掰猈稗粨粺絔摆败拝栢瓸竡薭贁韛
ban	伴半姅扮扳拌搬斑板版班瓣瘢絆舨般辦鈑闆阪頒坢怑攽斒昄柈湴粄蝂螁褩鉡靽魬鳻办坂癍绊钣颁岅瓪秚螌辬
bang	傍幫梆棒榜磅綁膀蚌謗邦鎊垹塝搒牓玤縍艕蒡鞤帮浜绑谤镑幇幚捠稖蜯邫髈
bao	保包堡報寶抱暴爆胞苞葆薄褒褓豹鉋鑤雹飽鮑儤媬孢忁怉枹煲窇笣菢蕔虣袌趵飹駂髱鳵鴇齙勹宝报饱鲍鸨龅佨勽堢嫑宲寚寳曓珤緥藵蚫襃賲铇闁靌靤骲
bei	被北倍備卑孛悖悲憊揹杯焙狽盃碑背蓓貝輩邶鋇偝唄桮梖棓椑牬犕珼琲碚糒藣褙誖郥鄁鞁骳鵯呗备惫狈贝辈鐾钡鞴鹎俻偹僃愂昁禙苝蛽軰鉳
ben	本奔畚笨苯坋坌栟泍渀翉錛贲锛倴奙捹撪桳楍犇獖輽逩
beng	崩泵甭繃蹦迸伻傰埲塴琣琫甏痭祊絣菶閍嘣绷埄奟嵭揼綳逬鏰镚鞛
bi	比筆俾匕嗶壁妣婢幣庇弊弼彼必愎敝斃沘璧畢痺碧箄篦臂荸蔽薜裨襞詖賁蹕逼避鄙鉍閉陛鼻佖偪咇坒堛奰妼嬖屄庳廦彃怭愊朼柀柲梐楅毖湢滭潷濞熚狴獘獙珌畀疕疪痹皕秕笓箅篳粊綼縪繴罼腷芘苾萆蓖蓽蜌襣觱豍貏贔躄邲鄨鄪鎞鏎閟飶馝駜驆髀髲鮅鵖鷝鷩鼊吡哔币毕毙滗笔筚舭荜跸铋闭佊啚夶嬶幤弻怶枈榌毴煏畁睤禆箆粃聛萞螕袐襅诐貱赑躃鐴閇鞸韠饆魓鰏鲾
bian	便匾卞弁扁汴砭編蝙褊變貶辨辮辯遍邊釆鞭忭惼抃揙汳煸猵甂碥稨窆箯籩緶艑萹閞鴘变笾缏编苄贬辩辫边鳊変峅徧昪炞牑獱玣糄藊覍辡辧辺邉鍽鯾鯿
biao	婊彪杓標膘表錶鏢鑣驃鰾俵儦墂摽檦淲滮瀌熛爂猋瘭穮臕藨裱褾諘謤贆颩颮飆驫髟标灬镖镳飑飙飚骠鳔幖磦脿颷飇飈飊骉
bie	別彆癟鱉徶憋癿虌蛂蟞襒蹩别瘪鳖莂鼈龞
bin	儐彬檳殯濱瀕繽臏豳賓鬢擯斌椕汃玢璸砏虨豩邠鑌霦髕傧宾摈槟殡滨濒缤膑镔髌鬓梹氞濵瑸賔顮髩鬂
bing	病丙並併兵冰并摒柄炳秉稟鉼餅偋寎庰怲掤昺窉苪蛃誁邴陃鞞冫禀饼仌仒倂傡垪幷抦昞栤棅氷眪竝鈵鋲靐鞆餠鮩
bo	亳伯剝勃博卜帛搏撥播擘檗波渤玻箔簸缽脖膊舶菠蔔蕃蘗跛鈸鉑駁僠僰哱啵嚗嶓帗懪挬欂浡犦猼瓝瓟砵碆礡簙糪胉葧袚袹襏襮譒豰踣蹳郣鋍鎛鑮餑餺馞駮髆鱍鵓剥拨礴钵钹铂饽驳鹁仢侼孹愽淿溊煿牔犻狛癶癷盋秡箥紴肑艊苩萡袯袰鉢镈馎馛驋髉鮁鲌
bu	不佈哺埔埠布怖捕步簿補誧部鈽吥咘峬抪捗晡瓿篰蔀踄轐逋醭餔鳪鵏鸔卟补钚钸勏喸埗庯廍悑柨歨歩荹郶鈈餢鿻
ca	擦嚓囃攃礤礸遪
cai	菜彩才採材猜睬綵纔蔡裁財踩采偲啋埰婇寀棌縩跴财倸毝
can	參慘慚摻殘燦璨蠶餐嬠憯朁澯穇篸粲蚕驂黲参惨惭残灿骖黪傪儏叄叅喰慙湌爘薒蝅蠺謲飡
cang	倉傖滄艙蒼藏嵢獊鑶鶬仓伧沧舱苍仺欌濸螥賶鸧
cao	草嘈操曹槽漕糙嶆懆肏艚艸螬襙鄵騲艹愺撡曺蓸褿鏪
ce	側冊廁惻測策憡拺畟筴簎粣萴蓛侧册厕恻测厠墄敇笧筞箣荝萗
cen	岑涔嵾笒
ceng	層曾噌嶒蹭驓层曽竲
cha	茶叉察岔差插搽查詫侘偛嗏垞奼扠杈槎汊疀碴秅紁臿艖茬衩蹅鍤姹檫猹诧锸镲馇嵖挿揷肞詧銟鑔靫餷
chai	儕拆柴豺釵齜喍囆瘥祡蠆袃侪虿钗犲芆茝訍
chan	儳剷嬋孱巉懺攙毚潺澶產禪纏羼蟬蟾諂讒鏟闡顫饞丳僝儃劖嘽嚵囅嵼幝幨廛忏摲旵梴棎欃湹滻瀍瀺灛煘燀獑磛簅繟艬蕆裧襜覘譂躔辴辿酁鉆鋋鋓鑱产冁婵掺搀禅缠蒇蝉觇谄谗铲镡阐颤馋骣刬剗啴壥懴摌斺浐潹産硟緾纒誗讇鄽镵閳韂
chang	常場倀倡償唱嘗嚐娼嫦廠徜悵敞昌暢氅猖腸萇鯧仩厂惝昶淐琩瑒菖裮鋹鋿錩閶韔鬯鱨鼚伥偿场尝怅畅肠苌阊鲳仧僘兏厰塲晿椙焻瑺瓺甞畼膓蟐誯鏛锠镸鲿
chao	朝勦吵嘲巢抄晁潮炒超鈔弨怊樔漅焣焯牊眧窲罺耖訬轈鄛钞仦仯巐巣欩煼觘謿麨鼂鼌
che	車坼徹扯掣撤澈屮撦烢硨硩莗迠彻砗车伡俥偖勶唓爡瞮聅蛼頙
